id,name,type,location,startDate,endDate,website,hostingTeams
"85376","2016 Roller Derby Tournament","Invitational","Mons, Belgium","2016-09-10","2016-09-11","",""
"77415","2016 Royal Rumble","Invitational","Gold Coast, Queensland, Australia","2016-04-23","2016-04-25","","34098"
"85265","2016 Rust Riot","Invitational","Seattle, WA","2016-08-20","2016-08-21","https://www.facebook.com/events/1792995487655698/","3403"
"81694","2016 Savannah Summer Slam","Invitational","Savannah, Georgia","2016-06-18","2016-06-19","","8894"
"68601","2016 Siege of CNY","Invitational","Utica, NY","2016-04-16","2016-04-17","https://www.facebook.com/siegeofcny","3642"
"75173","2016 Slip It","Invitational","Caen, France","2016-02-20","2016-02-21","","19122"
"82505","2016 Sooner Skate","Invitational","Oklahoma City, OK","2016-06-18","2016-06-19","https://www.facebook.com/events/1695793083994726/","3450"
"71448","2016 Southern Discomfort","Invitational","Columbia, SC","2016-04-16","2016-04-17","http://www.columbiaquadsquad.com/","7696"
"84937","2016 Spokarnage","Invitational","Spokane, WA","2016-08-19","2016-08-21","https://www.facebook.com/Spokarnage-A-Killer-Roller-Derby-Tournament-287126728058702/?hc_ref=SEARCH&fref=nf","11470"
"75738","2016 Spudtown Knockdown","Invitational","","2016-04-02","2016-04-03","",""
"74840","2016 Suomi Cup","Invitational","Finland","2016-01-01","2016-12-31","http://www.rollerderbyfinland.com/suomi-cup/otteluohjelma/suomi-cup-2016/",""
"88302","2016 Suomi Cup Finals","Seeded Bracket","Tampere, Finland","2016-12-10","2016-12-10","http://www.rollerderbyfinland.com/suomi-cup/otteluohjelma/suomi-cup-2016/","17953"
"83318","2016 SweatFest","Invitational","New Orleans, LA","2016-07-23","2016-07-23","","3397"
"68602","2016 The Big O","Invitational","Eugene, OR","2016-04-29","2016-05-01","http://ecrg.com/bigo/","3465"
"81740","2016 Thin Air Throwdown","Invitational","Denver, Colorado","2016-06-04","2016-06-05","","3431"
"75246","2016 Tinseltown Showdown","Invitational","Los Angeles, CA","2016-04-15","2016-04-17","","3420"
"88231","2016 Torneo Nacional AMRD","Seeded Bracket","Ciudad Juárez, Mexico","2016-11-19","2016-11-20","https://www.facebook.com/AsociacionMexicanaDeRollerDerby/",""
"88253","2016 Torneo Solo por la Manija","Seeded Bracket","Mar del Plata, Argentina","2016-11-26","2016-11-28","https://www.facebook.com/events/201954286915301/","55424"
"84805","2016 Tropicarnage Cup","Invitational","Morayfield, Queensland, Australia","2016-10-01","2016-10-03","https://www.facebook.com/tropicarnagecup",""
"74310","2016 Uff Da Palooza","Invitational","Wasau, WI","2016-07-09","2016-07-10","https://www.facebook.com/events/701682756600672/","12502"
"78683","2016 United We Roll","Invitational","Fairbanks, AK","2016-04-22","2016-04-23","","4743"
"84897","2016 WFTDA Championship Tournament","Championship","Portland, OR","2016-11-04","2016-11-06","https://wftda.com/tournaments/2016/championships","3409"
"84856","2016 WFTDA Division 1 Playoff 1 Montreal","Seeded Bracket","Montreal, QC, Canada","2016-09-02","2016-09-04","https://wftda.com/tournaments/2016/montreal","3461"
"84857","2016 WFTDA Division 1 Playoff 2 Columbia","Seeded Bracket","Columbia, SC","2016-09-09","2016-09-11","https://wftda.com/tournaments/2016/columbia","7696"
"84858","2016 WFTDA Division 1 Playoff 3 Vancouver","Seeded Bracket","Vancouver, BC, Canada","2016-09-16","2016-09-18","https://wftda.com/tournaments/2016/vancouver","4290"
