id,name,shortName,abbreviation,teamType,location,website,parentLeague,establishedDate,disbandedDate,genus,domain
"7813","Classic City Rollergirls","Classic City","CCRG","Travel Team","Athens, GA","http://classiccityrollergirls.com/","","","","Womens","USA"
"9864","Classy Trashy Rollergirls","","","Home Team","","","12105","","2010-10-01","Womens","Canada"
"45218","Cleveland Firestarters","Firestarters","CLFI","Travel Team","Cleveland, OH","","","2010-01-01","2012-08-01","Junior","USA"
"39966","Cleveland Junior Roller Derby","Cleveland Jr.","CJRD","Travel Team","Brunswick, OH","http://www.clevelandjuniorrollerderby.com/","","2012-07-01","2015-07-01","Junior","USA"
"55769","Cleveland Men's Roller Derby","Cleveland Men's","CMRD","Travel Team","Cleveland, OH","http://clevelandguardians.com/","","2013-07-16","","Mens","USA"
"12309","Cleveland Steamers","","","Home Team","","http://www.burningriverrollergirls.com/index.php/teams/the-cleveland-steamers","3437","","2015-08-01","Womens","USA"
"29678","Clovis Roller Derby","Clovis","CRD","Travel Team","Clovis, NM","http://www.clovisrollerderby.org","","2012-07-01","2017-10-28","Womens","USA"
"24846","Clutch City Roller Derby","Clutch City","CCRD","Travel Team","Houston, TX","https://www.myspace.com/544803597","","","2012-01-01","Womens","USA"
"10988","CNY Daybreakers","","","B Team","","","3642","","","Womens","USA"
"15854","Co Conspirators","","","B Team","","","3424","2009-01-01","","Womens","USA"
"36769","Coachella Valley Derby Girls","Coachella Valley","CVDG","Travel Team","Palm Desert, CA","https://www.facebook.com/CVDesertDerbyGirls/info","","2012-06-01","","Womens","USA"
"9873","Coal Bank Crushers","","","Home Team","","","9819","","2013-01-01","Womens","Canada"
"91379","Coal City Breakers","","","Home Team","","","13368","","","Womens","USA"
"8880","Coal City Rollers","Coal City","CCR","Travel Team","Wilkes-Barre, PA","http://www.myspace.com/coalcityrollers","","2006-01-01","2009-09-10","Womens","USA"
"55287","Coal Miner's Slaughter","","","Home Team","","","55402","2013-11-01","","Womens","USA"
"31237","Coast Highway Catrinas","","","Home Team","","","11367","","2014-09-26","Womens","USA"
"23426","Coastal Assassins Roller Derby","Coastal Assassins","CARD","Travel Team","Sunshine Coast, Queensland, Australia","http://www.coastalassassins.com.au/","","2010-04-01","","Womens","Australia"
"28040","Coastal Derby Empire","Coastal Derby","CDE","Travel Team","Savannah, GA","http://coastalderbyempire.com/","","2012-01-01","2013-09-19","Womens","USA"
"45348","Coastbusters","","","Home Team","","","14194","2014-01-01","2015-03-01","Womens","USA"
"56221","Cobra Quads","Cobra Quads","CQRD","Travel Team","Mar del Plata, Argentina","https://www.facebook.com/cobracuadsrollerderbymdq/","","2013-09-07","","Coed","South America"
